Submitted,ElapsedTime,Attempt,ItemID,ItemType,What times would work best with your schedule/are most likely for you to attend? Select all that work. ,EarnedPoints,Status,NumberOfCorrect,NumberOfIncorrect,NoResponse,PointsPossible,OverallScore
2026-01-08 05:03:56 UTC,0:00:17,1,426733,multi-answer,4:00-5:00pm on Wednesday,0,Graded,0,1,0,0,0
2026-01-08 07:14:52 UTC,0:00:26,1,426733,multi-answer,6:00-7:00pm on Thursday,0,Graded,0,1,0,0,0
2026-01-08 14:59:46 UTC,0:00:29,1,426733,multi-answer,"2:00-3:00pm on Monday,4:00-5:00pm on Wednesday",0,Graded,0,1,0,0,0
2026-01-08 16:08:34 UTC,0:00:48,1,426733,multi-answer,"2:00-3:00pm on Monday,6:00-7:00pm on Thursday",0,Graded,0,1,0,0,0
2026-01-08 16:24:27 UTC,0:00:21,1,426733,multi-answer,6:00-7:00pm on Thursday,0,Graded,0,1,0,0,0
2026-01-08 16:43:13 UTC,0:00:23,1,426733,multi-answer,"2:00-3:00pm on Monday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-08 16:32:21 UTC,0:00:15,1,426733,multi-answer,2:00-3:00pm on Monday,0,Graded,0,1,0,0,0
2026-01-09 04:30:10 UTC,0:01:16,1,426733,multi-answer,"2:00-3:00pm on Monday,3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday,2:00-3:00pm on Friday",0,Graded,1,0,0,0,0
2026-01-09 20:38:00 UTC,0:00:45,1,426733,multi-answer,"2:00-3:00pm on Monday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-08 17:23:59 UTC,0:00:43,1,426733,multi-answer,"2:00-3:00pm on Monday,4:00-5:00pm on Wednesday",0,Graded,0,1,0,0,0
2026-01-09 00:24:39 UTC,0:00:35,1,426733,multi-answer,6:00-7:00pm on Thursday,0,Graded,0,1,0,0,0
2026-01-08 17:22:19 UTC,0:00:34,1,426733,multi-answer,"2:00-3:00pm on Monday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-08 17:35:32 UTC,0:00:27,1,426733,multi-answer,3:00-4:00pm on Tuesday,0,Graded,0,1,0,0,0
2026-01-08 22:26:29 UTC,0:00:20,1,426733,multi-answer,"3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday",0,Graded,0,1,0,0,0
2026-01-09 20:35:37 UTC,0:00:15,1,426733,multi-answer,"3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday",0,Graded,0,1,0,0,0
2026-01-09 00:09:09 UTC,0:00:14,1,426733,multi-answer,"3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday",0,Graded,0,1,0,0,0
2026-01-09 03:04:32 UTC,0:00:29,1,426733,multi-answer,2:00-3:00pm on Friday,0,Graded,0,1,0,0,0
2026-01-08 18:16:41 UTC,0:01:21,1,426733,multi-answer,"2:00-3:00pm on Monday,6:00-7:00pm on Thursday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-07 23:06:49 UTC,0:01:19,1,426733,multi-answer,4:00-5:00pm on Wednesday,0,Graded,0,1,0,0,0
2026-01-08 06:35:13 UTC,0:00:28,1,426733,multi-answer,2:00-3:00pm on Monday,0,Graded,0,1,0,0,0
2026-01-07 23:46:31 UTC,0:00:18,1,426733,multi-answer,2:00-3:00pm on Monday,0,Graded,0,1,0,0,0
2026-01-08 00:58:10 UTC,0:00:49,1,426733,multi-answer,3:00-4:00pm on Tuesday,0,Graded,0,1,0,0,0
2026-01-08 01:35:29 UTC,0:00:25,1,426733,multi-answer,2:00-3:00pm on Friday,0,Graded,0,1,0,0,0
2026-01-08 03:01:01 UTC,0:01:05,1,426733,multi-answer,"3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-08 04:28:25 UTC,0:00:27,1,426733,multi-answer,"3:00-4:00pm on Tuesday,4:00-5:00pm on Wednesday,6:00-7:00pm on Thursday,2:00-3:00pm on Friday",0,Graded,0,1,0,0,0
2026-01-07 19:24:49 UTC,0:00:30,1,426733,multi-answer,2:00-3:00pm on Friday,0,Graded,0,1,0,0,0
